,Date,Ohio HPI,USA HPI,US Population (25-54),US Mortgage to Income,Unemployment,CPI
0,1947-01-01,,,,,,
1,1948-01-01,,,,,3.4,10.242085661080068
2,1949-01-01,,,,,4.3,1.3935810810810967
3,1950-01-01,,,,,6.5,-2.082465639316955
4,1951-01-01,,,,,3.7,7.9540621012335055
5,1952-01-01,,,,,3.2,4.215918045705291
6,1953-01-01,,,,,2.9,0.7183364839319584
7,1954-01-01,,,,,4.9,1.1261261261261257
8,1955-01-01,,,,,4.9,-0.6310319227913919
9,1956-01-01,,,,,4.0,0.22413149047439962
10,1957-01-01,,,,,4.2,3.130823704808061
11,1958-01-01,,,,,5.8,3.5056017347307566
12,1959-01-01,,,,,6.0,1.2918994413407825
13,1960-01-01,,,,,5.2,1.2409513960703222
14,1961-01-01,,,0.8674980299966162,,6.6,1.6002723867892366
15,1962-01-01,,,0.7016365072355146,,5.8,0.6702412868632601
16,1963-01-01,,,0.8058177401260247,,5.7,1.331557922769644
17,1964-01-01,,,0.7108527178637081,,5.6,1.6425755584756896
18,1965-01-01,,,0.371200632079316,,4.9,1.098901098901095
19,1966-01-01,,,0.260314140873108,,4.0,1.9181585677749302
20,1967-01-01,,,0.7770616194185065,,3.9,3.19949811794229
21,1968-01-01,,,0.6347479105876186,,3.7,3.647416413373872
22,1969-01-01,,,0.2510377585186241,,3.4,4.692082111436946
23,1970-01-01,,,0.6610324736860074,,3.9,6.162464985994376
24,1971-01-01,,,0.775333734229533,,5.9,5.277044854881274
25,1972-01-01,,,0.9771192763649239,,5.8,3.2581453634085378
26,1973-01-01,,,1.3634097496583175,,4.9,3.6407766990291357
27,1974-01-01,,,1.5465724975776363,,5.1,9.601873536299754
28,1975-01-01,,,1.7290197740496671,,8.1,11.752136752136755
29,1976-01-01,2.1956087824351433,4.581042811927372,2.0029863580993013,,7.9,6.692160611854692
30,1977-01-01,9.945913461538458,10.751831793564826,1.9690788840088569,,7.5,5.197132616487465
31,1978-01-01,13.828915004099462,14.439810153890399,1.5999440078141802,,6.4,6.814310051107331
32,1979-01-01,14.957983193277325,14.87997989191907,1.2356361600542654,,5.9,9.250398724082931
33,1980-01-01,4.42773600668338,9.397221310578718,0.9271123067593701,4.372891,6.3,13.868613138686126
34,1981-01-01,3.3299999999999885,5.190000000000006,0.9119979401041034,4.598035,7.5,11.794871794871797
35,1982-01-01,-13.723023323333006,0.9031276737332394,0.8663690155455095,4.89099,8.6,8.25688073394495
36,1983-01-01,14.817722938867073,7.810439042773698,0.6050219478717533,4.849154,10.4,3.7076271186440746
37,1984-01-01,3.6733098866744918,4.369483527047113,0.9793084441440891,4.900392,8.0,4.290091930541351
38,1985-01-01,1.9411986430456052,4.580088754919198,1.2762488155908747,5.226777,7.3,3.52595494613126
39,1986-01-01,4.492512479201327,6.261008807045632,0.9093417611258037,5.503128,6.7,3.9735099337748325
40,1987-01-01,6.342887473460701,7.33875828812538,0.6761944583179691,5.727013,6.6,1.364877161055511
41,1988-01-01,6.912902420763678,5.00491365997473,1.2611291895475274,5.746887,5.7,4.129263913824044
42,1989-01-01,5.220977279800798,5.2209372284243605,1.0217233678373683,5.760173,5.4,4.482758620689653
43,1990-01-01,5.043259631738528,4.980940279542567,0.07768853856513491,6.019675,5.4,5.198019801980203
44,1991-01-01,3.738120380147847,1.476640038731536,0.34540167696162083,6.216675,6.4,5.647058823529405
45,1992-01-01,4.7095548317046765,3.0653625954198294,0.5673648010188215,5.990278,7.3,2.672605790645899
46,1993-01-01,3.545042125729103,1.6664737877560398,0.24605344744188518,5.77348,7.3,3.2537960954446943
47,1994-01-01,4.7756149464855735,3.2555492316448387,0.4556898082265004,5.563705,6.6,2.450980392156854
48,1995-01-01,3.7156511350059818,1.44967478778526,0.4778523577409821,5.648761,5.6,2.8708133971291794
49,1996-01-01,6.4566294205736785,5.172507470795962,0.053685512398482516,5.600129,5.6,2.7906976744185963
50,1997-01-01,4.025320564843371,2.236916877615336,-0.28975205797806547,5.61989,5.3,3.0381383322559907
51,1998-01-01,4.675716440422306,5.073269327943408,-0.4197694021531806,5.53176,4.6,1.6311166875784044
52,1999-01-01,4.362516148265927,4.607098201404258,-0.5240311706933731,5.486907,4.3,1.6666666666666607
53,2000-01-01,2.8994477242429983,5.810959911732239,-0.6335915507882595,5.603787,4.0,2.792956891317555
54,2001-01-01,5.741914588442132,7.668578380257207,-0.1679245165915888,5.720924,4.2,3.7212049616065945
55,2002-01-01,3.671129780344806,6.032847746257208,-0.07715358365693037,5.818683,5.7,1.1958997722095743
56,2003-01-01,3.093740767315234,6.473588065154501,-0.07750577987785112,5.876676,5.8,2.757456387169399
57,2004-01-01,3.574060427413417,7.356042463452139,0.21815504350091164,5.850716,5.7,2.026286966046009
58,2005-01-01,3.715561879916196,11.123689029465611,0.4505884573737351,7.49597,5.3,2.8448738593666034
59,2006-01-01,1.8750714585159534,10.46860019175455,0.500875852450422,7.898613,4.7,4.018789144050117
60,2007-01-01,-0.2132355691893295,3.2818009221589506,0.69015662308749,8.548444,4.6,2.075765178123423
61,2008-01-01,-1.2821474094624086,-2.226890756302524,1.3036245818694558,8.911721,5.0,4.294695655165981
62,2009-01-01,-2.016557800394958,-5.777288354103993,1.4632004992654268,8.736014,7.8,-0.11358601902212717
63,2010-01-01,-5.457152823533962,-7.0066417718993135,1.3372469730075887,8.139607,9.8,2.6211113889767157
64,2011-01-01,-2.914770630918717,-3.4147687214541977,1.85770117047237,7.500138,9.1,1.7007834915029774
