,Date,Ohio HPI,USA HPI,US Population (25-54),US Mortgage to Income,Unemployment,CPI
65,2012-01-01,-1.1654421079300703,-1.6154114697387922,2.3679653478742013,6.805059,8.3,3.0087663379855023
66,2013-01-01,-0.23925489190805838,2.1645161290322568,2.2572797407453216,6.520457,8.0,1.684061762098299
67,2014-01-01,0.8094218415417576,4.650942502604916,1.7600343173506783,6.382673,6.6,1.557758795574915
68,2015-01-01,4.367220357704227,5.40067583876418,1.3596254906449445,6.116055,5.7,-0.22993097820542818
69,2016-01-01,3.390727398542759,4.846281559512233,2.4048249045696357,6.090748,4.8,1.2375025026943876
70,2017-01-01,4.169291338582659,5.242034564665432,2.6851863319487634,5.979369,4.7,2.5103933482571117
71,2018-01-01,5.926149892286192,6.14314992087579,2.1996600792014265,5.924021,4.0,2.151318868063945
72,2019-01-01,4.99875120419595,4.597335940364178,2.5594947084763175,5.844992,4.0,1.4875893578291333
73,2020-01-01,6.150604866113918,5.086924011589877,2.733059547761729,5.915147,3.6,2.5122643638566533
74,2021-01-01,7.782188360330378,7.568985835946007,2.807644097529449,4.78471,6.4,1.3951009246599089
75,2022-01-01,16.531527517894816,19.509270934535007,2.693374144564298,5.667339,4.0,7.5697666445729395
76,2023-01-01,8.81865681152032,8.070569921300685,2.6844684175542533,5.691535,3.4,6.362123304649603
77,2024-01-01,7.844009837217469,6.408348137833908,,5.903333,3.7,3.1059809026621865
